subject_ID,trial_no,stim_condition,answer,percept_resp,conf_resp,correct,percept_rt,conf_rt,stim_size,stim_dur,stim_contrast,stim_tilt_diff,text_stim_condition
1,1,4,0,1,2,0,541.0,2267.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,2,5,0,0,1,1,2037.0,630.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,3,3,1,1,3,1,1144.0,532.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,4,9,0,0,2,1,1285.0,243.0,150.0,100.0,0.75,2.931591329751752,baseline
1,5,3,1,1,3,1,1714.0,356.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,6,1,0,1,2,0,1160.0,469.0,75.0,100.0,0.75,2.931591329751752,size_low
1,7,9,1,1,3,1,770.0,347.0,150.0,100.0,0.75,2.931591329751752,baseline
1,8,9,0,0,2,1,945.0,220.0,150.0,100.0,0.75,2.931591329751752,baseline
1,9,1,1,1,2,1,1462.0,509.0,75.0,100.0,0.75,2.931591329751752,size_low
1,10,9,1,1,2,1,1967.0,739.0,150.0,100.0,0.75,2.931591329751752,baseline
1,11,9,1,1,3,1,760.0,501.0,150.0,100.0,0.75,2.931591329751752,baseline
1,12,6,0,0,2,1,1317.0,396.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,13,2,0,0,3,1,555.0,333.0,225.0,100.0,0.75,2.931591329751752,size_high
1,14,8,0,0,2,1,621.0,444.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,15,8,1,1,3,1,474.0,459.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,16,4,1,1,2,1,1516.0,436.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,17,6,1,1,1,1,1018.0,245.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,18,5,0,1,3,0,879.0,133.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,19,3,1,1,2,1,1134.0,179.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,20,6,0,1,2,0,1391.0,420.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,21,1,0,1,2,0,1518.0,123.0,75.0,100.0,0.75,2.931591329751752,size_low
1,22,8,1,1,4,1,1043.0,581.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,23,4,1,1,4,1,3123.0,220.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,24,9,1,1,2,1,1339.0,213.0,150.0,100.0,0.75,2.931591329751752,baseline
1,25,9,0,0,2,1,829.0,228.0,150.0,100.0,0.75,2.931591329751752,baseline
1,26,5,0,0,3,1,515.0,340.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,27,3,1,1,2,1,922.0,157.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,28,3,0,0,3,1,1017.0,229.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,29,4,1,1,2,1,593.0,140.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,30,2,0,0,4,1,640.0,376.0,225.0,100.0,0.75,2.931591329751752,size_high
1,31,9,0,0,3,1,580.0,291.0,150.0,100.0,0.75,2.931591329751752,baseline
1,32,3,1,0,2,0,823.0,115.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,33,2,0,0,3,1,617.0,205.0,225.0,100.0,0.75,2.931591329751752,size_high
1,34,3,0,0,4,1,493.0,173.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,35,7,0,1,1,0,733.0,185.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,36,5,0,0,2,1,972.0,139.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,37,1,1,0,1,0,819.0,337.0,75.0,100.0,0.75,2.931591329751752,size_low
1,38,9,0,0,3,1,914.0,165.0,150.0,100.0,0.75,2.931591329751752,baseline
1,39,5,1,0,3,0,635.0,107.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,40,7,1,0,2,0,675.0,41.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,41,5,1,0,2,0,900.0,142.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,42,3,0,0,3,1,843.0,92.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,43,6,1,1,1,1,690.0,171.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,44,2,1,1,3,1,655.0,138.0,225.0,100.0,0.75,2.931591329751752,size_high
1,45,6,1,1,3,1,603.0,218.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,46,3,0,0,2,1,776.0,78.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,47,8,1,1,2,1,786.0,68.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,48,1,0,1,3,0,612.0,67.0,75.0,100.0,0.75,2.931591329751752,size_low
1,49,9,0,0,2,1,1046.0,110.0,150.0,100.0,0.75,2.931591329751752,baseline
1,50,3,1,1,4,1,1699.0,149.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,51,7,0,1,2,0,1214.0,109.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,52,4,1,1,4,1,339.0,204.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,53,5,0,1,4,0,893.0,163.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,54,2,1,1,2,1,954.0,69.0,225.0,100.0,0.75,2.931591329751752,size_high
1,55,9,0,1,2,0,982.0,42.0,150.0,100.0,0.75,2.931591329751752,baseline
1,56,9,0,0,1,1,994.0,363.0,150.0,100.0,0.75,2.931591329751752,baseline
1,57,6,1,1,2,1,1610.0,125.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,58,4,1,1,2,1,683.0,224.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,59,1,1,1,3,1,1674.0,89.0,75.0,100.0,0.75,2.931591329751752,size_low
1,60,5,0,0,2,1,863.0,314.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,61,8,0,0,4,1,668.0,133.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,62,8,1,1,2,1,1122.0,177.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,63,9,1,1,3,1,741.0,173.0,150.0,100.0,0.75,2.931591329751752,baseline
1,64,9,1,1,3,1,369.0,157.0,150.0,100.0,0.75,2.931591329751752,baseline
1,65,6,0,0,3,1,634.0,179.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,66,8,0,0,4,1,401.0,179.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,67,5,1,1,2,1,683.0,76.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,68,3,1,1,3,1,745.0,180.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,69,3,1,1,2,1,682.0,65.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,70,9,1,1,1,1,583.0,259.0,150.0,100.0,0.75,2.931591329751752,baseline
1,71,7,0,1,2,0,527.0,104.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,72,2,0,0,3,1,884.0,148.0,225.0,100.0,0.75,2.931591329751752,size_high
1,73,1,1,1,2,1,716.0,99.0,75.0,100.0,0.75,2.931591329751752,size_low
1,74,3,0,1,3,0,1152.0,138.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,75,4,0,1,3,0,255.0,131.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,76,9,0,1,3,0,534.0,147.0,150.0,100.0,0.75,2.931591329751752,baseline
1,77,8,1,1,4,1,497.0,203.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,78,6,1,1,4,1,355.0,141.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,79,4,1,1,2,1,571.0,182.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,80,9,1,1,1,1,485.0,42.0,150.0,100.0,0.75,2.931591329751752,baseline
1,81,2,1,1,2,1,959.0,52.0,225.0,100.0,0.75,2.931591329751752,size_high
1,82,9,1,0,2,0,604.0,245.0,150.0,100.0,0.75,2.931591329751752,baseline
1,83,9,1,0,3,0,402.0,165.0,150.0,100.0,0.75,2.931591329751752,baseline
1,84,8,0,0,2,1,351.0,101.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,85,2,1,1,3,1,710.0,91.0,225.0,100.0,0.75,2.931591329751752,size_high
1,86,3,0,1,3,0,775.0,141.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,87,2,1,0,2,0,910.0,158.0,225.0,100.0,0.75,2.931591329751752,size_high
1,88,9,1,1,1,1,659.0,107.0,150.0,100.0,0.75,2.931591329751752,baseline
1,89,8,0,0,1,1,504.0,117.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,90,9,1,0,1,0,394.0,156.0,150.0,100.0,0.75,2.931591329751752,baseline
1,91,7,0,0,3,1,711.0,66.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,92,3,0,0,2,1,778.0,91.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,93,1,0,1,2,0,1035.0,94.0,75.0,100.0,0.75,2.931591329751752,size_low
1,94,3,0,1,3,0,866.0,803.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,95,7,1,0,2,0,927.0,77.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,96,9,1,0,3,0,666.0,167.0,150.0,100.0,0.75,2.931591329751752,baseline
1,97,6,1,1,3,1,708.0,652.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,98,4,1,0,2,0,389.0,109.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,99,7,0,0,3,1,475.0,131.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,100,3,0,0,2,1,655.0,102.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,101,3,0,0,3,1,619.0,99.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,102,9,0,0,3,1,999.0,120.0,150.0,100.0,0.75,2.931591329751752,baseline
1,103,9,1,1,3,1,897.0,34.0,150.0,100.0,0.75,2.931591329751752,baseline
1,104,9,1,1,2,1,830.0,165.0,150.0,100.0,0.75,2.931591329751752,baseline
1,105,8,0,0,3,1,465.0,163.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,106,9,1,1,2,1,599.0,157.0,150.0,100.0,0.75,2.931591329751752,baseline
1,107,8,0,0,4,1,394.0,149.0,150.0,100.0,0.75,5.863182659503503,tilt_high
1,108,7,1,1,2,1,691.0,88.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,109,9,1,1,2,1,617.0,450.0,150.0,100.0,0.75,2.931591329751752,baseline
1,110,5,0,0,2,1,608.0,395.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,111,5,1,1,1,1,757.0,44.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,112,5,0,1,1,0,598.0,83.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,113,1,0,1,1,0,821.0,116.0,75.0,100.0,0.75,2.931591329751752,size_low
1,114,6,0,0,3,1,800.0,122.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,115,4,0,0,3,1,168.0,107.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,116,6,1,1,4,1,420.0,178.0,150.0,100.0,0.1,2.931591329751752,noise_low
1,117,4,1,0,2,0,528.0,99.0,150.0,500.0,0.75,2.931591329751752,dur_high
1,118,1,1,0,1,0,462.0,123.0,75.0,100.0,0.75,2.931591329751752,size_low
1,119,3,1,1,1,1,810.0,125.0,150.0,33.0,0.75,2.931591329751752,dur_low
1,120,5,1,1,1,1,379.0,149.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,121,7,1,1,1,1,714.0,91.0,150.0,100.0,0.75,1.4657956648758756,tilt_low
1,122,5,1,0,1,0,634.0,100.0,150.0,100.0,0.9,2.931591329751752,noise_high
1,123,9,0,0,4,1,564.0,128.0,150.0,100.0,0.75,2.931591329751752,baseline
