subj_no,stim_cond,percept_acc,d-prime,c,beta,conf,c_conf,ic_conf,percept_rt,conf_rt,threshold
1,0.0,0.97,3.8811214686376942,0.38578713972199363,4.469545610378887,2.47,2.515463917525773,1.0,1086.94,507.04,3.136452153284292
1,1.0,0.86,2.169444675275843,0.0902644544281685,1.2163124992296148,1.8,1.9186046511627908,1.0714285714285714,1341.65,439.16,3.136452153284292
1,2.0,0.97,3.8044349818839924,0.15153141968982686,1.7797829771520886,2.23,2.268041237113402,1.0,1135.26,481.27,3.136452153284292
1,3.0,0.8,1.6875583020314988,0.0715859368270646,1.128405350722445,1.6,1.675,1.3,1275.43,424.19,3.136452153284292
1,4.0,0.93,3.0322376367967703,0.23456725285378466,2.036563141351732,2.06,2.118279569892473,1.2857142857142858,1210.83,417.88,3.136452153284292
1,5.0,0.79,1.63780328860267,-0.1755562389084181,0.7501166243411947,1.65,1.7215189873417722,1.380952380952381,1278.25,414.75,3.136452153284292
1,6.0,0.87,2.2553061328810458,-0.04733372562556715,0.8987484975172289,1.81,1.896551724137931,1.2307692307692308,1248.58,433.17,3.136452153284292
1,7.0,0.66,0.836188610407016,-0.16474720206770824,0.871308012319479,1.42,1.5303030303030303,1.2058823529411764,1463.17,359.28,3.136452153284292
1,8.0,0.96,3.501372142504339,2.220446049250313e-16,1.0000000000000009,2.26,2.3125,1.0,1129.26,420.69,3.136452153284292
1,9.0,0.8,1.6875583020314986,-0.07158593682706449,0.8862063613574368,1.5,1.5875,1.15,1575.22,431.44,3.136452153284292
1,10.0,0.83,2.13761510186807,0.48596604366281865,2.825847596986809,1.73,1.8674698795180722,1.0588235294117647,1224.98,438.78,3.136452153284292
1,11.0,0.7,1.0505403063857246,0.0575713540783539,1.0623474424730097,1.42,1.542857142857143,1.1333333333333333,1666.01,453.29,3.136452153284292
1,12.0,0.9,2.745143954461923,0.37811409402120827,2.8235010423472056,1.79,1.8666666666666667,1.1,1257.13,492.39,3.136452153284292
1,13.0,0.75,1.3660217462809547,0.15861036043243676,1.2419282368602313,1.52,1.6,1.28,1390.25,475.78,3.136452153284292
1,14.0,0.81,1.8183321974590072,0.2658206933365866,1.6214978574803167,1.21,1.2345679012345678,1.105263157894737,1680.39,317.91,3.136452153284292
1,15.0,0.64,0.7914676501081805,0.4458874085188239,1.4231965872611945,1.26,1.328125,1.1388888888888888,1559.41,314.76,3.136452153284292
2,0.0,0.88,2.399529443519386,-0.20530683854993986,0.6110113132304791,3.65,3.7613636363636362,2.8333333333333335,606.92,428.32,5.730589747058029
2,1.0,0.71,1.1072420199792568,0.029220497281587765,1.032883248981349,3.74,3.788732394366197,3.6206896551724137,1396.94,401.51,5.730589747058029
2,2.0,0.8,1.6832424671458286,-5.551115123125783e-17,0.9999999999999999,3.78,3.875,3.4,525.36,340.66,5.730589747058029
2,3.0,0.77,1.4849666389658311,0.09913791408999861,1.1586047681121607,3.78,3.844155844155844,3.5652173913043477,576.66,327.24,5.730589747058029
2,4.0,0.71,1.1110442045074254,0.08782330313920428,1.10249475611967,3.71,3.8028169014084505,3.4827586206896552,707.81,471.49,5.730589747058029
